no,group,key,ja,en,zh
101001,PluginName,admin,管理者用,administrator use,管理者用
101002,,atest1_ngp,NGP標準 (atest1),NGP standard(atest1),NGP標準 (atest1)
101003,,btest1_ngp,NGP標準 (btest1),NGP standard(btest1),NGP標準 (btest1)
101004,,live_ngp,NGP標準 (本番),NGP standard(live),NGP標準 (本番)
101005,,edit,編集,edit,編集
102001,MenuString,chat.php,チャットログ,chat log,チャットログ
102002,Notes,chat.php,チャットログを表示します,show chat log,チャットログを表示します
102003,MenuString,chat_real.php,チャット監視,chat monitor,チャット監視
102004,Notes,chat_real.php,現在流れているチャットを監視します,monitor the chat now flowing,現在流れているチャットを監視します
102005,MenuString,regists.php,会員登録,membership registration,会員登録
102006,Notes,regists.php,会員登録数、退会数の集計結果を表示します,show add up result of membership registrations and withdrawals,会員登録数、退会数の集計結果を表示します
102007,MenuString,kakin.php,課金履歴,charge history,課金履歴
102008,Notes,kakin.php,課金アイテムの購入履歴を集計したものなどを表示します,show add up result of charge item purchase histories,課金アイテムの購入履歴を集計したものなどを表示します
102009,MenuString,shop.php,ショップ,shop,ショップ
102010,Notes,shop.php,ゲーム内通貨ショップでの販売履歴と集計したものを表示します,show add up result with sale histories at game currency shop,ゲーム内通貨ショップでの販売履歴と集計したものを表示します
102011,MenuString,gacha.php,ガチャ,capsule toy,ガチャ
102012,Notes,gacha.php,ガチャの履歴を集計したものなどを表示します,show add up result with capsule toy histories,ガチャの履歴を集計したものなどを表示します
102013,MenuString,user_duration.php,継続日数,duration days,継続日数
102014,Notes,user_duration.php,ユーザごとに登録・アクセス・退会日での集計を行います,"add up each user's registration, access, and withdrawal date",ユーザごとに登録・アクセス・退会日での集計を行います
102015,MenuString,steps.php,進捗統計,progress statistics,進捗統計
102016,Notes,steps.php,キャラクターごとの進捗状況の統計をとります,take statistics of each character's progress condition,キャラクターごとの進捗状況の統計をとります
102017,MenuString,item_move.php,アイテム移動,item transfer,アイテム移動
102018,Notes,item_move.php,アイテム移動ログの取り込み結果を検索・参照します,show reference and search import results of item transfer logs,アイテム移動ログの取り込み結果を検索・参照します
102019,MenuString,report_day.php,日集計,day add up,日集計
102020,Notes,report_day.php,日ごとの各種集計結果をまとめて表示します,show gathered daily add up results,日ごとの各種集計結果をまとめて表示します
102021,MenuString,report_mon.php,月集計,month add up,月集計
102022,Notes,report_mon.php,月ごとの各種集計結果をまとめて表示します,show gathered monthly add up results,月ごとの各種集計結果をまとめて表示します
102023,MenuString,log_search.php,ログ参照,refer to log,ログ参照
102024,Notes,log_search.php,ログファイルを参照します,refer to log file,ログファイルを参照します
102025,MenuString,log_search_db.php,ログ参照 (DB),refer to log(DB),ログ参照 (DB)
102026,Notes,log_search_db.php,データベースに取り込んだログファイルを参照します,refer to log file imported to data base,データベースに取り込んだログファイルを参照します
102027,MenuString,var_edit.php,変数マスタ編集,variable master edit,変数マスタ編集
102028,Notes,var_edit.php,各画面で参照するコード、ID等の編集を行ないます,"edit code, ID, etc. looked up in each window",各画面で参照するコード、ID等の編集を行ないます
102029,MenuString,strres_update.php,文字列マスタ更新,character string master update,文字列マスタ更新
102030,Notes,strres_update.php,各画面で表示する文字列のマスタを更新します,update character string master shown on each windows,各画面で表示する文字列のマスタを更新します
102031,MenuString,dump.php,ユーザダンプ,ユーザダンプ,ユーザダンプ
102032,Notes,dump.php,各環境のユーザ情報を書き換えて他の環境にコピーする,各環境のユーザ情報を書き換えて他の環境にコピーする,各環境のユーザ情報を書き換えて他の環境にコピーする
102033,MenuString,log_search_dbk.php,ログ調査 (DB),ログ調査 (DB),ログ調査 (DB)
102034,Notes,log_search_dbk.php,DBに取り込んだログファイルを参照します,DBに取り込んだログファイルを参照します,DBに取り込んだログファイルを参照します
102035,MenuString,user_duration_stat.php,継続率集計,継続率集計,継続率集計
102036,Notes,user_duration_stat.php,登録日単位での継続率を集計しします,登録日単位での継続率を集計しします,登録日単位での継続率を集計しします
102037,MenuString,charge.php,両替履歴,両替履歴,両替履歴
